NAME_EN,Country.Name,,
Afghanistan,Afghanistan,,
Albania,Albania,,
Algeria,Algeria,,
American Samoa,American Samoa,,
Andorra,Andorra,,
Angola,Angola,,
Anguilla,,,
Antigua and Barbuda,Antigua and Barbuda,,
Argentina,Argentina,,
Armenia,Armenia,,
Aruba,Aruba,,
Australia,Australia,,
Australian Indian Ocean Territories,,,
Australian Indian Ocean Territories,,,
Austria,Austria,,
Azerbaijan,Azerbaijan,,
Bahrain,Bahrain,,
Bangladesh,Bangladesh,,
Barbados,Barbados,,
Belarus,Belarus,,
Belgium,Belgium,,
Belize,Belize,,
Benin,Benin,,
Bermuda,Bermuda,,
Bhutan,Bhutan,,
Bolivia,Bolivia,,
Bosnia and Herzegovina,Bosnia and Herzegovina,,
Botswana,Botswana,,
Brazil,Brazil,,
British Indian Ocean Territory,,,
British Virgin Islands,British Virgin Islands,,
Brunei,Brunei,,
Bulgaria,Bulgaria,,
Burkina Faso,Burkina Faso,,
Burundi,Burundi,,
Cambodia,Cambodia,,
Cameroon,Cameroon,,
Canada,Canada,,
Cape Verde,Cabo Verde,,
Cayman Islands,Cayman Islands,,
Central African Republic,Central African Republic,,
Chad,Chad,,
Chile,Chile,,
Clipperton Island,,,
Colombia,Colombia,,
Comoros,Comoros,,
Cook Islands,,,
Costa Rica,Costa Rica,,
Croatia,Croatia,,
Cuba,Cuba,,
Curaçao,Curacao,,
Cyprus,Cyprus,,
Czech Republic,Czech Republic,,
Democratic Republic of the Congo,"Congo, Dem. Rep.",,
Denmark,Denmark,,
Djibouti,Djibouti,,
Dominica,Dominica,,
Dominican Republic,Dominican Republic,,
East Timor,Timor-Leste,,
Ecuador,Ecuador,,
Egypt,"Egypt, Arab Rep.",,
El Salvador,El Salvador,,
Equatorial Guinea,Equatorial Guinea,,
Eritrea,Eritrea,,
Estonia,Estonia,,
eSwatini,Eswatini,,
Ethiopia,Ethiopia,,
Falkland Islands,,,
Faroe Islands,Faroe Islands,,
Federated States of Micronesia,"Micronesia, Fed. Sts.",,
Fiji,Fiji,,
Finland,Finland,,
France,France,,
French Polynesia,French Polynesia,,
French Southern and Antarctic Lands,,,
Gabon,Gabon,,
Georgia,Georgia,,
Germany,Germany,,
Ghana,Ghana,,
Gibraltar,Gibraltar,,
Greece,Greece,,
Greenland,Greenland,,
Grenada,Grenada,,
Guam,Guam,,
Guantanamo Bay Naval Base,,,
Guatemala,Guatemala,,
Guernsey,,,
Guinea,Guinea,,
Guinea-Bissau,Guinea-Bissau,,
Guyana,Guyana,,
Haiti,Haiti,,
Heard Island and McDonald Islands,,,
Honduras,Honduras,,
Hong Kong,"Hong Kong SAR, China",,
Hungary,Hungary,,
Iceland,Iceland,,
India,India,,
Indonesia,Indonesia,,
Iran,"Iran, Islamic Rep.",,
Iraq,Iraq,,
Ireland,Ireland,,
Isle of Man,Isle of Man,,
Israel,Israel,,
Italy,Italy,,
Ivory Coast,Cote d'Ivoire,,
Jamaica,Jamaica,,
Japan,Japan,,
Jersey,,,
Jordan,Jordan,,
Kazakhstan,Kazakhstan,,
Kenya,Kenya,,
Kiribati,Kiribati,,
Kosovo,Kosovo,,
Kuwait,Kuwait,,
Kyrgyzstan,Kyrgyz Republic,,
Laos,Lao PDR,,
Latvia,Latvia,,
Lebanon,Lebanon,,
Lesotho,Lesotho,,
Liberia,Liberia,,
Libya,Libya,,
Liechtenstein,Liechtenstein,,
Lithuania,Lithuania,,
Luxembourg,Luxembourg,,
Macau,"Macao SAR, China",,
Madagascar,Madagascar,,
Malawi,Malawi,,
Malaysia,Malaysia,,
Maldives,Maldives,,
Mali,Mali,,
Malta,Malta,,
Marshall Islands,Marshall Islands,,
Mauritania,Mauritania,,
Mauritius,Mauritius,,
Mexico,Mexico,,
Moldova,Moldova,,
Monaco,Monaco,,
Mongolia,Mongolia,,
Montenegro,Montenegro,,
Montserrat,,,
Morocco,Morocco,,
Mozambique,Mozambique,,
Myanmar,Myanmar,,
Namibia,Namibia,,
Nauru,Nauru,,
Nepal,Nepal,,
Netherlands,Netherlands,,
Netherlands,,,
Netherlands,,,
Netherlands,,,
New Caledonia,New Caledonia,,
New Zealand,New Zealand,,
New Zealand,,,
Nicaragua,Nicaragua,,
Niger,Niger,,
Nigeria,Nigeria,,
Niue,,,
Norfolk Island,,,
North Korea,"Korea, Dem. People's Rep.",,
Northern Mariana Islands,Northern Mariana Islands,,
Norway,Norway,,
Oman,Oman,,
Pakistan,Pakistan,,
Palau,Palau,,
Palestine,West Bank and Gaza,,
Panama,Panama,,
Papua New Guinea,Papua New Guinea,,
Paraguay,Paraguay,,
People's Republic of China,China,,
Peru,Peru,,
Philippines,Philippines,,
Pitcairn Islands,,,
Poland,Poland,,
Portugal,Portugal,,
Puerto Rico,Puerto Rico,,
Qatar,Qatar,,
Republic of Macedonia,North Macedonia,,
Republic of the Congo,"Congo, Rep.",,
Romania,Romania,,
Russia,Russian Federation,,
Rwanda,Rwanda,,
Saint Helena,,,
Saint Kitts and Nevis,St. Kitts and Nevis,,
Saint Lucia,St. Lucia,,
Saint Martin,St. Martin (French part),,
Saint Pierre and Miquelon,,,
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,,
Saint-Barthélemy,,,
Samoa,Samoa,,
San Marino,San Marino,,
São Tomé and Príncipe,Sao Tome and Principe,,
Saudi Arabia,Saudi Arabia,,
Senegal,Senegal,,
Serbia,Serbia,,
Seychelles,Seychelles,,
Sierra Leone,Sierra Leone,,
Singapore,Singapore,,
Sint Maarten,Sint Maarten (Dutch part),,
Slovakia,Slovak Republic,,
Slovenia,Slovenia,,
Solomon Islands,Solomon Islands,,
Somalia,Somalia,,
South Africa,South Africa,,
South Georgia and the South Sandwich Islands,,,
South Korea,"Korea, Rep.",,
South Sudan,South Sudan,,
Spain,Spain,,
Sri Lanka,Sri Lanka,,
Sudan,Sudan,,
Suriname,Suriname,,
